iteration,accepted_updates,status,linearization_refreshed,mean_objective_gradient_norm,lambda,objective_loss,train_mse_normalized,validation_mse_normalized,best_validation_mse_normalized,normal_seconds,jacobian_seconds,normal_matrix_seconds,solve_seconds,candidate_seconds,candidate_train_seconds,candidate_validation_seconds,checkpoint,best_checkpoint
99,76,accepted,1,0.0130885,0.00132349,0.000321593,0.00027947,0.000283241,0.000283241,0.94439,0.0544481,0.888135,0.0104469,0.0486028,0.0250724,0.0235304,,best_validation_checkpoint_0.bin
100,77,accepted,1,0.00502398,0.000661744,0.000309885,0.00026901,0.000272805,0.000272805,0.882705,0.0547803,0.826039,0.0107926,0.0494152,0.0249198,0.0244954,,best_validation_checkpoint_1.bin
101,78,accepted,1,0.0254968,0.000330872,0.000306693,0.000250602,0.000254393,0.000254393,0.888294,0.0554166,0.831123,0.0107699,0.0494713,0.0248463,0.024625,,best_validation_checkpoint_0.bin
102,78,rejected,1,0.54001,0.00330872,0.000306693,0.000250602,0.000254393,0.000254393,0.918337,0.0533058,0.863334,0.0119233,0.0126098,0.0126096,0,,
103,79,accepted,0,0.54001,0.00165436,0.000285695,0.000247116,0.00025101,0.00025101,0,0,0,0.011277,0.0497077,0.0251714,0.0245362,,best_validation_checkpoint_1.bin
104,80,accepted,1,0.0767129,0.000827181,0.00027716,0.000240243,0.000244165,0.000244165,0.937198,0.0588418,0.876616,0.011476,0.0491546,0.0251682,0.0239863,,best_validation_checkpoint_0.bin
105,81,accepted,1,0.038078,0.00041359,0.000268264,0.000227793,0.000231727,0.000231727,0.894374,0.0571767,0.8355,0.0115077,0.0498582,0.02552,0.024338,,best_validation_checkpoint_1.bin
106,81,rejected,1,0.247631,0.0041359,0.000268264,0.000227793,0.000231727,0.000231727,0.98265,0.0537592,0.927252,0.0117859,0.0126064,0.0126063,0,,
107,82,accepted,0,0.247631,0.00206795,0.000260332,0.000225743,0.000229726,0.000229726,0,0,0,0.0108663,0.0488683,0.0254772,0.0233911,,best_validation_checkpoint_0.bin
108,83,accepted,1,0.0360869,0.00103398,0.00025475,0.000221022,0.000225024,0.000225024,0.881387,0.0553815,0.82427,0.0107632,0.0499883,0.0252136,0.0247745,,best_validation_checkpoint_1.bin
109,84,accepted,1,0.015189,0.000516988,0.000246179,0.000212381,0.00021638,0.00021638,0.884654,0.053107,0.829887,0.011514,0.0490742,0.0249941,0.02408,,best_validation_checkpoint_0.bin
110,84,rejected,1,0.0837601,0.00516988,0.000246179,0.000212381,0.00021638,0.00021638,0.895046,0.0533737,0.839915,0.0104171,0.0126037,0.0126034,0,,
111,85,accepted,0,0.0837601,0.00258494,0.000243111,0.000211071,0.00021509,0.00021509,0,0,0,0.0106463,0.0495429,0.0252938,0.0242491,,best_validation_checkpoint_1.bin
112,86,accepted,1,0.0118723,0.00129247,0.00023934,0.000207788,0.00021181,0.00021181,0.925026,0.0541008,0.869089,0.0118955,0.0542742,0.0253016,0.0289725,,best_validation_checkpoint_0.bin
113,87,accepted,1,0.00495742,0.000646235,0.000232691,0.000201647,0.000205653,0.000205653,0.907289,0.0556905,0.849825,0.010175,0.0502924,0.0253773,0.024915,,best_validation_checkpoint_1.bin
114,87,rejected,1,0.026496,0.00646235,0.000232691,0.000201647,0.000205653,0.000205653,0.877972,0.053869,0.822345,0.0103945,0.012613,0.0126127,0,,
115,88,accepted,0,0.026496,0.00323117,0.000231079,0.000200747,0.000204759,0.000204759,0,0,0,0.0117217,0.0500977,0.0254619,0.0246357,,best_validation_checkpoint_0.bin
116,89,accepted,1,0.00331957,0.00161559,0.000228416,0.000198349,0.000202359,0.000202359,0.957765,0.0536938,0.902376,0.009558,0.0492319,0.0253168,0.0239149,,best_validation_checkpoint_1.bin
117,90,accepted,1,0.00163124,0.000807794,0.000223466,0.000193902,0.000197889,0.000197889,0.86478,0.0536947,0.809278,0.0111131,0.0499618,0.0249274,0.0250343,,best_validation_checkpoint_0.bin
118,91,accepted,1,0.00930109,0.000403897,0.00021805,0.000185616,0.000189529,0.000189529,0.941068,0.0540226,0.885345,0.0104869,0.0527294,0.0282559,0.0244734,,best_validation_checkpoint_1.bin
119,91,rejected,1,0.194837,0.00403897,0.00021805,0.000185616,0.000189529,0.000189529,0.906866,0.0534496,0.851687,0.010847,0.0126233,0.0126231,0,,
120,92,accepted,0,0.194837,0.00201948,0.000212897,0.000184789,0.000188696,0.000188696,0,0,0,0.011247,0.0497664,0.0250973,0.024669,,best_validation_checkpoint_0.bin
121,93,accepted,1,0.0284843,0.00100974,0.000209323,0.000181636,0.000185524,0.000185524,0.872791,0.0544543,0.816498,0.0102277,0.0472817,0.0248657,0.022416,,best_validation_checkpoint_1.bin
122,94,accepted,1,0.0130809,0.000504871,0.000204019,0.000175954,0.000179774,0.000179774,0.915343,0.0533474,0.860118,0.0107295,0.0496592,0.0250178,0.0246413,,best_validation_checkpoint_0.bin
123,94,rejected,1,0.0789013,0.00504871,0.000204019,0.000175954,0.000179774,0.000179774,0.929736,0.0533428,0.874694,0.0115345,0.012627,0.0126267,0,,
