iteration,accepted_updates,status,linearization_refreshed,mean_mse_gradient_norm,lambda,train_mse_normalized,validation_mse_normalized,best_validation_mse_normalized,normal_seconds,jacobian_seconds,normal_matrix_seconds,solve_seconds,candidate_seconds,candidate_train_seconds,candidate_validation_seconds,checkpoint,best_checkpoint
126,99,accepted,1,0.000512335,1.57772e-06,4.05583e-06,4.17233e-06,4.17233e-06,0.509386,0.0306898,0.476984,0.0109138,0.0363708,0.012405,0.0239657,,best_validation_checkpoint_1.bin
127,100,accepted,1,0.00163006,7.88861e-07,4.04013e-06,4.14534e-06,4.14534e-06,0.496765,0.0312776,0.463668,0.0111948,0.0382793,0.0140743,0.024205,,best_validation_checkpoint_0.bin
128,100,rejected,1,0.00547684,7.88861e-06,4.04013e-06,4.14534e-06,4.14534e-06,0.472847,0.0304052,0.44078,0.0116834,0.0122731,0.0122728,0,,
129,101,accepted,0,0.00547684,3.9443e-06,3.70482e-06,3.81283e-06,3.81283e-06,0,0,0,0.0097022,0.036003,0.0121275,0.0238754,,best_validation_checkpoint_1.bin
130,102,accepted,1,0.000379857,1.97215e-06,3.61158e-06,3.71634e-06,3.71634e-06,0.452884,0.0303138,0.420648,0.0130626,0.037417,0.0134647,0.0239522,,best_validation_checkpoint_0.bin
131,103,accepted,1,0.000890551,9.86076e-07,3.5181e-06,3.61701e-06,3.61701e-06,0.462548,0.0308692,0.429924,0.0107008,0.0358331,0.0120295,0.0238035,,best_validation_checkpoint_1.bin
132,103,rejected,1,0.00291939,9.86076e-06,3.5181e-06,3.61701e-06,3.61701e-06,0.449512,0.0307134,0.41706,0.0109879,0.0123391,0.0123387,0,,
133,104,accepted,0,0.00291939,4.93038e-06,3.39305e-06,3.49213e-06,3.49213e-06,0,0,0,0.0128231,0.0362146,0.0124652,0.0237494,,best_validation_checkpoint_0.bin
134,105,accepted,1,0.000192056,2.46519e-06,3.32875e-06,3.42582e-06,3.42582e-06,0.453498,0.0302421,0.42143,0.0108036,0.0355905,0.0121306,0.0234598,,best_validation_checkpoint_1.bin
135,106,accepted,1,0.000498659,1.2326e-06,3.23667e-06,3.33016e-06,3.33016e-06,0.46646,0.0308959,0.433378,0.0107758,0.0347252,0.0120274,0.0226977,,best_validation_checkpoint_0.bin
136,106,rejected,1,0.00164227,1.2326e-05,3.23667e-06,3.33016e-06,3.33016e-06,0.437566,0.0301178,0.405629,0.0125776,0.0131704,0.0131701,0,,
137,107,accepted,0,0.00164227,6.16298e-06,3.18055e-06,3.27359e-06,3.27359e-06,0,0,0,0.0132297,0.0354114,0.0122002,0.0232111,,best_validation_checkpoint_1.bin
138,108,accepted,1,9.95869e-05,3.08149e-06,3.13461e-06,3.22628e-06,3.22628e-06,0.490594,0.0367687,0.452075,0.0123263,0.036431,0.0121107,0.0243202,,best_validation_checkpoint_0.bin
