iteration,accepted_updates,status,linearization_refreshed,mean_objective_gradient_norm,lambda,objective_loss,train_mse_normalized,validation_mse_normalized,best_validation_mse_normalized,normal_seconds,jacobian_seconds,normal_matrix_seconds,solve_seconds,candidate_seconds,candidate_train_seconds,candidate_validation_seconds,checkpoint,best_checkpoint
54,41,rejected,1,0.057058,0.00454747,0.00107744,0.000575442,0.000580243,0.000580243,1.04915,0.0630213,0.984466,0.0178129,0.016422,0.0164217,0,,
55,42,accepted,0,0.057058,0.00227374,0.00103047,0.000543548,0.000548916,0.000548916,0,0,0,0.0127212,0.0581236,0.0304828,0.0276408,,best_validation_checkpoint_1.bin
56,43,accepted,1,0.0120183,0.00113687,0.000967163,0.000513896,0.000519477,0.000519477,0.999379,0.0646765,0.932324,0.0156811,0.0555468,0.029327,0.0262198,,best_validation_checkpoint_0.bin
57,44,accepted,1,0.0162815,0.000568434,0.000880096,0.000459309,0.000465023,0.000465023,0.874492,0.0648464,0.807744,0.0120999,0.0495167,0.0262294,0.0232871,,best_validation_checkpoint_1.bin
58,44,rejected,1,0.471072,0.00568434,0.000880096,0.000459309,0.000465023,0.000465023,0.881645,0.0604227,0.819419,0.0123464,0.0136355,0.0136353,0,,
59,45,accepted,0,0.471072,0.00284217,0.000846247,0.000446713,0.000452416,0.000452416,0,0,0,0.0118382,0.0479862,0.0248709,0.0231152,,best_validation_checkpoint_0.bin
60,46,accepted,1,0.0801949,0.00142109,0.000809158,0.000427091,0.000432822,0.000432822,0.852668,0.0574227,0.792939,0.0123493,0.0484097,0.0259588,0.0224508,,best_validation_checkpoint_1.bin
61,47,accepted,1,0.0829193,0.000710543,0.000780565,0.000392748,0.000398323,0.000398323,0.932346,0.060044,0.870401,0.0122008,0.052912,0.0251681,0.0277437,,best_validation_checkpoint_0.bin
62,47,rejected,1,1.14081,0.00710543,0.000780565,0.000392748,0.000398323,0.000398323,0.940919,0.0599249,0.879061,0.0131948,0.0129599,0.0129597,0,,
63,48,accepted,0,1.14081,0.00355271,0.000736625,0.00038743,0.000392851,0.000392851,0,0,0,0.015015,0.0518463,0.0263042,0.025542,,best_validation_checkpoint_1.bin
64,49,accepted,1,0.198076,0.00177636,0.000711801,0.000374536,0.000379874,0.000379874,0.878613,0.0565995,0.820148,0.0109227,0.0505522,0.0258607,0.0246915,,best_validation_checkpoint_0.bin
65,50,accepted,1,0.11935,0.000888178,0.000690089,0.000352429,0.000357531,0.000357531,0.862636,0.0553589,0.805195,0.0109378,0.0497362,0.0251734,0.0245626,,best_validation_checkpoint_1.bin
66,50,rejected,1,0.823774,0.00888178,0.000690089,0.000352429,0.000357531,0.000357531,0.834449,0.0532444,0.779333,0.0123322,0.0126912,0.0126909,0,,
67,51,accepted,0,0.823774,0.00444089,0.000663777,0.000349345,0.000354325,0.000354325,0,0,0,0.0110391,0.0500622,0.0251756,0.0248866,,best_validation_checkpoint_0.bin
68,52,accepted,1,0.132117,0.00222045,0.000647511,0.000340865,0.000345748,0.000345748,0.862883,0.0542352,0.806522,0.0109993,0.0498809,0.0250731,0.0248076,,best_validation_checkpoint_1.bin
69,53,accepted,1,0.0624594,0.00111022,0.00062502,0.000326059,0.000330737,0.000330737,0.856913,0.0541338,0.800856,0.0108865,0.049793,0.0252312,0.0245617,,best_validation_checkpoint_0.bin
70,53,rejected,1,0.303991,0.0111022,0.00062502,0.000326059,0.000330737,0.000330737,0.862373,0.0539939,0.806384,0.0108953,0.0127214,0.0127213,0,,
71,54,accepted,0,0.303991,0.00555112,0.000614911,0.000323935,0.000328529,0.000328529,0,0,0,0.0105065,0.0499771,0.0254713,0.0245057,,best_validation_checkpoint_1.bin
72,55,accepted,1,0.0469934,0.00277556,0.000604317,0.000318207,0.000322734,0.000322734,0.864812,0.0550123,0.807945,0.0116029,0.0499275,0.0251555,0.024772,,best_validation_checkpoint_0.bin
73,56,accepted,1,0.0203473,0.00138778,0.00058636,0.000307918,0.000312298,0.000312298,0.843407,0.055774,0.785794,0.0109811,0.0500597,0.0252822,0.0247774,,best_validation_checkpoint_1.bin
74,56,rejected,1,0.0863263,0.0138778,0.00058636,0.000307918,0.000312298,0.000312298,0.829155,0.0541359,0.773082,0.0110029,0.0126874,0.0126872,0,,
75,57,accepted,0,0.0863263,0.00693889,0.000581652,0.000306389,0.000310715,0.000310715,0,0,0,0.0105503,0.0503808,0.0257825,0.0245983,,best_validation_checkpoint_0.bin
76,58,accepted,1,0.0115387,0.00346945,0.000574356,0.000302376,0.000306666,0.000306666,0.85354,0.0556156,0.796002,0.0110417,0.0507898,0.0259884,0.0248012,,best_validation_checkpoint_1.bin
77,59,accepted,1,0.00575203,0.00173472,0.000561035,0.00029503,0.000299211,0.000299211,0.845151,0.0570554,0.785998,0.0105869,0.0504262,0.0253427,0.0250835,,best_validation_checkpoint_0.bin
78,60,accepted,1,0.0276144,0.000867362,0.000547538,0.000281525,0.000285506,0.000285506,0.828427,0.0547026,0.771911,0.0118888,0.0504417,0.0258604,0.0245812,,best_validation_checkpoint_1.bin
79,60,rejected,1,0.493409,0.00867362,0.000547538,0.000281525,0.000285506,0.000285506,0.820144,0.0539704,0.764246,0.0105642,0.0133188,0.0133185,0,,
80,61,accepted,0,0.493409,0.00433681,0.000533072,0.000280125,0.000283991,0.000283991,0,0,0,0.0109987,0.0515277,0.0258993,0.0256284,,best_validation_checkpoint_0.bin
81,62,accepted,1,0.0786191,0.0021684,0.000523433,0.000274971,0.000278772,0.000278772,0.870488,0.0553882,0.813159,0.0108903,0.0506091,0.0261191,0.0244899,,best_validation_checkpoint_1.bin
82,63,accepted,1,0.0373751,0.0010842,0.000509451,0.000265841,0.000269524,0.000269524,0.890182,0.0582953,0.830081,0.0110568,0.0490935,0.0252057,0.0238877,,best_validation_checkpoint_0.bin
83,63,rejected,1,0.183702,0.010842,0.000509451,0.000265841,0.000269524,0.000269524,0.851115,0.054597,0.794497,0.010903,0.0130501,0.0130499,0,,
84,64,accepted,0,0.183702,0.00542101,0.000503568,0.00026479,0.000268409,0.000268409,0,0,0,0.0114647,0.0486505,0.0253335,0.023317,,best_validation_checkpoint_1.bin
85,65,accepted,1,0.0270733,0.00271051,0.000497091,0.000261215,0.000264808,0.000264808,0.832691,0.0558335,0.775065,0.011343,0.0490979,0.0250045,0.0240934,,best_validation_checkpoint_0.bin
86,66,accepted,1,0.0116219,0.00135525,0.000485758,0.000254741,0.000258264,0.000258264,0.84726,0.0544346,0.791065,0.0106179,0.0506577,0.0259517,0.0247059,,best_validation_checkpoint_1.bin
87,66,rejected,1,0.0516881,0.0135525,0.000485758,0.000254741,0.000258264,0.000258264,0.836627,0.0540883,0.780686,0.0113055,0.0127774,0.0127772,0,,
88,67,accepted,0,0.0516881,0.00677626,0.000482919,0.000253915,0.000257402,0.000257402,0,0,0,0.0108142,0.0503674,0.0250486,0.0253188,,best_validation_checkpoint_0.bin
89,68,accepted,1,0.00561447,0.00338813,0.000478339,0.000251352,0.000254821,0.000254821,0.871836,0.0565853,0.813313,0.0115042,0.0497449,0.0251792,0.0245656,,best_validation_checkpoint_1.bin
90,69,accepted,1,0.00325821,0.00169407,0.000469785,0.000246629,0.000250046,0.000250046,0.868868,0.0550545,0.811908,0.0107485,0.0495843,0.0250023,0.0245819,,best_validation_checkpoint_0.bin
91,70,accepted,1,0.018322,0.000847033,0.000459025,0.000237667,0.000241004,0.000241004,0.830404,0.0557661,0.772883,0.0111166,0.0498533,0.0253561,0.0244971,,best_validation_checkpoint_1.bin
92,70,rejected,1,0.288,0.00847033,0.000459025,0.000237667,0.000241004,0.000241004,0.915732,0.0562278,0.857461,0.0125092,0.0128558,0.0128554,0,,
93,71,accepted,0,0.288,0.00423516,0.000451191,0.000236908,0.000240175,0.000240175,0,0,0,0.0124449,0.051531,0.0269995,0.0245315,,best_validation_checkpoint_0.bin
94,72,accepted,1,0.0444073,0.00211758,0.000444866,0.000233439,0.000236689,0.000236689,0.905391,0.0647339,0.838837,0.0110948,0.050607,0.025621,0.0249859,,best_validation_checkpoint_1.bin
95,73,accepted,1,0.0201684,0.00105879,0.000434621,0.000227227,0.000230435,0.000230435,0.945007,0.0606954,0.882283,0.0116297,0.0513357,0.0260401,0.0252955,,best_validation_checkpoint_0.bin
96,73,rejected,1,0.0928221,0.0105879,0.000434621,0.000227227,0.000230435,0.000230435,0.88329,0.058665,0.822552,0.0108832,0.012959,0.0129587,0,,
97,74,accepted,0,0.0928221,0.00529396,0.000431334,0.000226548,0.000229721,0.000229721,0,0,0,0.010861,0.0505285,0.0255842,0.0249442,,best_validation_checkpoint_1.bin
98,75,accepted,1,0.012211,0.00264698,0.000426933,0.000224088,0.000227256,0.000227256,0.935587,0.0573237,0.876285,0.0115218,0.0505491,0.0254316,0.0251174,,best_validation_checkpoint_0.bin
99,76,accepted,1,0.00576472,0.00132349,0.00041887,0.00021958,0.00022272,0.00022272,0.918841,0.0623201,0.854588,0.0121799,0.0498657,0.0264607,0.0234048,,best_validation_checkpoint_1.bin
100,77,accepted,1,0.0264891,0.000661744,0.000413997,0.000211016,0.000214108,0.000214108,0.881298,0.0604237,0.818927,0.0134601,0.0506774,0.025779,0.0248983,,best_validation_checkpoint_0.bin
101,77,rejected,1,0.504596,0.00661744,0.000413997,0.000211016,0.000214108,0.000214108,0.893395,0.0618055,0.829249,0.0153859,0.0138718,0.0138716,0,,
102,78,accepted,0,0.504596,0.00330872,0.000401607,0.000210407,0.000213426,0.000213426,0,0,0,0.0125206,0.052158,0.0268514,0.0253064,,best_validation_checkpoint_1.bin
103,79,accepted,1,0.0787709,0.00165436,0.000395266,0.000207106,0.000210113,0.000210113,0.833669,0.0562006,0.775577,0.0118795,0.0491591,0.0251702,0.0239889,,best_validation_checkpoint_0.bin
104,80,accepted,1,0.0354831,0.000827181,0.000386431,0.000201198,0.000204174,0.000204174,0.865414,0.0538051,0.809659,0.0116036,0.0501907,0.0254978,0.0246928,,best_validation_checkpoint_1.bin
105,80,rejected,1,0.155092,0.00827181,0.000386431,0.000201198,0.000204174,0.000204174,0.83952,0.0538536,0.783855,0.0102565,0.0126404,0.0126401,0,,
106,81,accepted,0,0.155092,0.0041359,0.000382349,0.000200582,0.000203522,0.000203522,0,0,0,0.0110766,0.0498315,0.0254563,0.0243752,,best_validation_checkpoint_0.bin
