iteration,accepted_updates,status,linearization_refreshed,mean_objective_gradient_norm,lambda,objective_loss,train_mse_normalized,validation_mse_normalized,best_validation_mse_normalized,normal_seconds,jacobian_seconds,normal_matrix_seconds,solve_seconds,candidate_seconds,candidate_train_seconds,candidate_validation_seconds,checkpoint,best_checkpoint
108,83,accepted,1,4.17014e-07,6.10887e-10,3.69397e-10,3.69397e-10,5.62524e-10,5.60652e-10,0.91628,0.056372,0.858187,0.0106285,0.0449818,0.0224362,0.0225456,,
109,83,rejected,1,1.64561e-06,6.10887e-09,3.69397e-10,3.69397e-10,5.62524e-10,5.60652e-10,0.901332,0.0586563,0.840877,0.0112996,0.0226827,0.0226826,0,,
110,84,accepted,0,1.64561e-06,3.05444e-09,3.69234e-10,3.69234e-10,5.62668e-10,5.60652e-10,0,0,0,0.0109291,0.0444455,0.022567,0.0218783,,
111,85,accepted,1,6.0915e-08,1.52722e-09,3.69077e-10,3.69077e-10,5.62645e-10,5.60652e-10,0.959742,0.0567843,0.901201,0.0101361,0.0449366,0.0223821,0.0225544,,
112,86,accepted,1,2.54035e-07,7.63609e-10,3.68794e-10,3.68794e-10,5.62561e-10,5.60652e-10,0.962457,0.0575706,0.90313,0.0115866,0.0449073,0.0224714,0.0224358,,
113,87,accepted,1,1.00987e-06,3.81805e-10,3.6863e-10,3.6863e-10,5.62546e-10,5.60652e-10,0.989985,0.056425,0.931553,0.0110852,0.0448979,0.0223203,0.0225776,,
114,87,rejected,1,3.8733e-06,3.81805e-09,3.6863e-10,3.6863e-10,5.62546e-10,5.60652e-10,0.906552,0.0567588,0.847795,0.0107862,0.0229854,0.0229852,0,,
115,88,accepted,0,3.8733e-06,1.90902e-09,3.68024e-10,3.68024e-10,5.62615e-10,5.60652e-10,0,0,0,0.011452,0.0449965,0.0226713,0.0223251,,
116,89,accepted,1,1.41538e-07,9.54511e-10,3.67792e-10,3.67792e-10,5.62547e-10,5.60652e-10,0.901007,0.0566018,0.842593,0.0116056,0.0446535,0.0224304,0.0222231,,
117,90,accepted,1,5.94553e-07,4.77256e-10,3.67486e-10,3.67486e-10,5.62408e-10,5.60652e-10,0.899565,0.0589207,0.838977,0.0113194,0.0445562,0.0223401,0.0222161,,
118,90,rejected,1,2.3418e-06,4.77256e-09,3.67486e-10,3.67486e-10,5.62408e-10,5.60652e-10,0.951357,0.0563313,0.893264,0.0108026,0.0223655,0.0223653,0,,
119,91,accepted,0,2.3418e-06,2.38628e-09,3.67205e-10,3.67205e-10,5.62568e-10,5.60652e-10,0,0,0,0.0114172,0.0452333,0.022813,0.0224202,,
120,92,accepted,1,8.69269e-08,1.19314e-09,3.67019e-10,3.67019e-10,5.62515e-10,5.60652e-10,0.957578,0.0566419,0.89923,0.0103776,0.0453,0.0226335,0.0226664,,
121,93,accepted,1,3.62938e-07,5.9657e-10,3.6671e-10,3.6671e-10,5.6237e-10,5.60652e-10,0.966165,0.0569857,0.90681,0.0136749,0.0450017,0.0225507,0.0224509,,
122,93,rejected,1,1.44254e-06,5.9657e-09,3.6671e-10,3.6671e-10,5.6237e-10,5.60652e-10,0.918862,0.056498,0.86065,0.0114214,0.0225902,0.02259,0,,
123,94,accepted,0,1.44254e-06,2.98285e-09,3.66563e-10,3.66563e-10,5.62513e-10,5.60652e-10,0,0,0,0.0101642,0.0454472,0.0227413,0.0227059,,
124,95,accepted,1,5.41461e-08,1.49142e-09,3.66415e-10,3.66415e-10,5.62473e-10,5.60652e-10,0.889332,0.0566652,0.830539,0.0112513,0.0446629,0.0223859,0.0222769,,
125,96,accepted,1,2.24813e-07,7.45712e-10,3.66145e-10,3.66145e-10,5.62352e-10,5.60652e-10,0.885835,0.056413,0.82762,0.0117614,0.0449355,0.0224062,0.0225293,,
126,97,accepted,1,8.98111e-07,3.72856e-10,3.65966e-10,3.65966e-10,5.62231e-10,5.60652e-10,0.862276,0.0574093,0.803013,0.0109319,0.043951,0.0214922,0.0224586,,
127,97,rejected,1,3.50196e-06,3.72856e-09,3.65966e-10,3.65966e-10,5.62231e-10,5.60652e-10,0.876996,0.0563223,0.818825,0.0114289,0.0224318,0.0224318,0,,
128,98,accepted,0,3.50196e-06,1.86428e-09,3.65416e-10,3.65416e-10,5.62336e-10,5.60652e-10,0,0,0,0.0109268,0.0440341,0.0217424,0.0222915,,
129,99,accepted,1,1.29816e-07,9.3214e-10,3.65194e-10,3.65194e-10,5.62241e-10,5.60652e-10,0.898667,0.0573166,0.839675,0.0110126,0.0451087,0.0225366,0.0225721,,
130,100,accepted,1,5.4409e-07,4.6607e-10,3.64895e-10,3.64895e-10,5.62037e-10,5.60652e-10,0.894025,0.0574529,0.834809,0.0115785,0.0454887,0.0228658,0.0226228,,
131,100,rejected,1,2.1625e-06,4.6607e-09,3.64895e-10,3.64895e-10,5.62037e-10,5.60652e-10,0.964166,0.0568881,0.905495,0.0111727,0.0223477,0.0223474,0,,
132,101,accepted,0,2.1625e-06,2.33035e-09,3.64634e-10,3.64634e-10,5.62205e-10,5.60652e-10,0,0,0,0.0110747,0.0446133,0.0222932,0.02232,,
