model,beta,partition,count,rmse,signed_mean,max_abs,flux_rmse,oob,root_min,root_max
residual_continued_best,1000.0,sharp_front,1,1.4763039990484117e-07,-1.4763039990484117e-07,1.4763039990484117e-07,0.015923211364834433,0,0.9999999999999019,0.9999999999999019
mse_125k,1000.0,near_front,64,6.434907895732965e-06,-4.004418427671144e-06,1.224328080617898e-05,0.010629491872928614,8,0.989620956651169,0.9999999999999066
residual_62k,1000.0,near_front,64,3.1273715489033543e-06,-1.8328208272432034e-07,6.560376330289053e-06,0.011069519747284713,0,0.989620956651169,0.9999999999999066
residual_125k,1000.0,near_front,64,3.3479788934771234e-06,-1.0814926126520574e-08,7.449120450586655e-06,0.011007400772284964,0,0.989620956651169,0.9999999999999066
residual_continued_best,1000.0,near_front,64,3.392552173988991e-06,-4.4440583244799436e-07,5.543957009357392e-06,0.011092167688331394,0,0.989620956651169,0.9999999999999066
mse_125k,10000.0,sharp_front,1,1.802608676770845e-07,-1.802608676770845e-07,1.802608676770845e-07,0.01750064199682244,0,1.0,1.0
residual_62k,10000.0,sharp_front,1,5.470515163086276e-07,5.470515163086276e-07,5.470515163086276e-07,0.00010000000000010001,1,1.0,1.0
residual_125k,10000.0,sharp_front,1,5.210510956032977e-07,5.210510956032977e-07,5.210510956032977e-07,0.00010000000000010001,1,1.0,1.0
residual_continued_best,10000.0,sharp_front,1,3.207126209048283e-08,3.207126209048283e-08,3.207126209048283e-08,0.00010000000000010001,1,1.0,1.0
mse_125k,10000.0,near_front,64,3.0574750031874844e-06,-1.859103842927201e-06,4.832947824828793e-06,0.010652806638698815,0,0.9899625558720861,1.0
residual_62k,10000.0,near_front,64,1.5803323413304399e-06,-3.4819734689994775e-07,2.2198345006607667e-06,0.007958640732421461,8,0.9899625558720861,1.0
residual_125k,10000.0,near_front,64,1.5420843958044796e-06,-2.233494213778331e-07,2.2802516372877335e-06,0.007752136171599618,8,0.9899625558720861,1.0
residual_continued_best,10000.0,near_front,64,2.195588915273285e-06,8.902847350653054e-08,3.898572593419303e-06,0.008500900645180774,8,0.9899625558720861,1.0
