beta,N,h,dt,time,method,saturation_min,saturation_max,total_L1,discretization_L1,vs_discrete_L1,vs_discrete_over_discretization_L1,total_L2,discretization_L2,vs_discrete_L2,vs_discrete_over_discretization_L2,total_Linf,discretization_Linf,vs_discrete_Linf,vs_discrete_over_discretization_Linf
100,20000,0.05,5.0,200.0,SRDM,0.05,0.25,0.0010027989233453655,0.0010027989233511968,7.232831000791861e-15,7.212643364854116e-12,0.007647175027224488,0.007647175027225173,9.956842704207584e-15,1.3020288758606443e-12,0.11387325464676114,0.11387325464680435,4.671263376110346e-14,4.102160239995772e-13
100,20000,0.05,5.0,200.0,CRIS,0.046745442117438536,0.24999903087164854,0.004808461301515754,0.0010027989233511968,0.004586388510263864,4.573587389720038,0.010221858565030273,0.007647175027225173,0.007517692479658595,0.9830679241542662,0.14763342875778107,0.11387325464680435,0.06395735264032602,0.5616538566382397
100,32000,0.03125,3.125,100.0,SRDM,0.05,0.25,0.0006268098851017648,0.0006268098851075994,6.412995568610969e-15,1.0231165335738287e-11,0.006047672983767072,0.006047672983767116,7.940645992013956e-15,1.313008493238287e-12,0.11382046860603491,0.11382046860606025,3.35009797680641e-14,2.9433176807603105e-13
100,32000,0.03125,3.125,100.0,CRIS,0.047788973126541255,0.2499990308716482,0.0035603282211010287,0.0006268098851075994,0.0032879606979210247,5.245546976906095,0.007183689033951141,0.006047672983767116,0.004632538619337508,0.766003491222484,0.12398005030203077,0.11382046860606025,0.04137772703960284,0.36353502622462164
100,32000,0.03125,3.125,200.0,SRDM,0.05,0.25,0.0006259604829876982,0.0006259604829973209,1.1763454793589645e-14,1.879264764009071e-11,0.006041060657482971,0.006041060657486287,1.9094166105056205e-14,3.1607307371420065e-12,0.11398457525448401,0.11398457525463195,1.730698917512541e-13,1.5183623868811243e-12
100,32000,0.03125,3.125,200.0,CRIS,0.042565658011131366,0.2499990308716482,0.008796587157518899,0.0006259604829973209,0.00879658715753082,14.052943271130534,0.016801330691866675,0.006041060657486287,0.014806703982884067,2.451010645710882,0.20656960975585226,0.11398457525463195,0.14866074968078408,1.3042181308189154
1000,20000,0.05,50.0,100.0,SRDM,0.050000000000000114,0.25,0.007322493400480967,0.007322493400481632,1.1320670095793518e-15,1.5460130145079966e-13,0.021161992791725346,0.021161992791725318,2.021494492504709e-15,9.552476992124986e-14,0.1020631992864905,0.10206319928649162,5.405398351143731e-15,5.2961286623700346e-14
1000,20000,0.05,50.0,100.0,CRIS,0.0522368275625434,0.2525493829131733,0.009056424230802074,0.007322493400481632,0.0025067652073270112,0.3423376533411598,0.02139321203326949,0.021161992791725318,0.0027351778766128544,0.12924954202244854,0.10789121837849126,0.10206319928649162,0.0058283969624659815,0.05710576391110041
1000,20000,0.05,50.0,200.0,SRDM,0.050000000000000724,0.25,0.008640093367620798,0.008640093367621452,1.1885884637630185e-15,1.3756662262669822e-13,0.02273687053798697,0.02273687053798701,2.3555687707807005e-15,1.0360127471567373e-13,0.1085879405594845,0.10858794055948605,1.0082212842377203e-14,9.284836594588531e-14
1000,20000,0.05,50.0,200.0,CRIS,0.055398704224834505,0.2539813622925663,0.012019718934664816,0.008640093367621452,0.005466394773116308,0.6326777432291988,0.024275107819755084,0.02273687053798701,0.0062843751029750105,0.27639578157757294,0.12141176929989349,0.10858794055948605,0.013873463708782507,0.12776247194026508
1000,40000,0.025,25.0,100.0,SRDM,0.05,0.25,0.004320046683810449,0.004320046683814783,4.598503001995713e-15,1.0644567845121158e-12,0.016077395340371232,0.016077395340371253,6.749426689461289e-15,4.1980846689221447e-13,0.10858794055948452,0.10858794055948605,1.0803857808383555e-14,9.949408518771055e-14
1000,40000,0.025,25.0,100.0,CRIS,0.05539870422377278,0.25547477620438613,0.008671610825188029,0.004320046683814783,0.0054971923616884315,1.2724844808469014,0.017613057854018597,0.016077395340371253,0.005982750152514534,0.37212185343800736,0.12221931790500849,0.10858794055948605,0.014706657245248694,0.13543545599515422
1000,40000,0.025,25.0,200.0,SRDM,0.05,0.25,0.004755018142605626,0.004755018142612659,7.810241169081688e-15,1.642526050340226e-12,0.016761274578231615,0.01676127457823147,1.2223195901866803e-14,7.292521726087317e-13,0.11256568919403818,0.11256568919403996,2.213507155346406e-14,1.966413719131393e-13
1000,40000,0.025,25.0,200.0,CRIS,0.06295614085920344,0.25920618101988696,0.013989001811691224,0.004755018142612659,0.011874698020777862,2.4972981521061604,0.023563499542497472,0.01676127457823147,0.014093876853864661,0.8408594935953699,0.14489633094559723,0.11256568919403996,0.04240598428155558,0.3767221129740203
1000,50000,0.02,20.0,100.0,SRDM,0.05,0.25,0.003591494331694042,0.003591494331700202,6.3798795413294585e-15,1.7763858027054839e-12,0.01462520960157615,0.014625209601576131,8.995516010812799e-15,6.150692028265611e-13,0.11017493496280088,0.11017493496280183,1.3510026430907374e-14,1.226234118991651e-13
1000,50000,0.02,20.0,100.0,CRIS,0.05726950233014807,0.25692785431292087,0.009517002911845089,0.003591494331700202,0.007166776507778652,1.9954859581766131,0.017222979302578333,0.014625209601576131,0.007800374463454376,0.5333512938244485,0.12821013134418963,0.11017493496280183,0.02058342387708703,0.18682492423559477
1000,50000,0.02,20.0,200.0,SRDM,0.05,0.25000000000000006,0.003871911494625199,0.003871911494635597,1.107319416715491e-14,2.859877913660074e-12,0.015103813476145247,0.01510381347614511,1.6496954686223376e-14,1.0922377128318346e-12,0.11333616871765868,0.1133361687176614,2.766536999487812e-14,2.441000989172044e-13
1000,50000,0.02,20.0,200.0,CRIS,0.06602717067824379,0.26178712408078597,0.01589504554380812,0.003871911494635597,0.014715875399112335,3.8006745297511797,0.025277389392022526,0.01510381347614511,0.017830828842649957,1.180551446216671,0.1568476635950119,0.1133361687176614,0.06083031317748537,0.5367246296195476
1000,80000,0.0125,12.5,100.0,SRDM,0.05,0.25,0.002377509071302819,0.0023775090713146364,1.2205772417089867e-14,5.133848936416769e-12,0.011852010915597264,0.011852010915597162,1.6076031266502682e-14,1.3563969339031521e-12,0.11256568919403818,0.11256568919403996,2.213507155346406e-14,1.966413719131393e-13
1000,80000,0.0125,12.5,100.0,CRIS,0.0629561408592136,0.2610547123496494,0.013218999069378498,0.0023775090713146364,0.012206029282971636,5.133956976333365,0.01892063376989894,0.011852010915597162,0.01340876002189054,1.1313489430088786,0.14576149940071892,0.11256568919403996,0.04333028518962541,0.3849333264857728
1000,80000,0.0125,12.5,200.0,SRDM,0.05,0.25,0.0024715163787019678,0.002471516378722035,2.2191756158390642e-14,8.979004286374786e-12,0.012044946773087458,0.012044946773088086,2.9807391794277115e-14,2.4746802419148498e-12,0.1142307575988329,0.11423075759884242,4.463096558993129e-14,3.9070882946138817e-13
1000,80000,0.0125,12.5,200.0,CRIS,0.07115573216115667,0.2686823902089531,0.020913652989013203,0.002471516378722035,0.020838893291436233,8.431622574239848,0.0316080161977251,0.012044946773088086,0.02707078294312496,2.247480495605756,0.18895506951119173,0.11423075759884242,0.11922659261482914,1.0437345870849528
