method,scheme,u1_initial,u2_initial,initial_exact_domain,map_converged,lower_capture,nonlinear_updates,lower_max_error,physical_residual_inf,status
exact,picard,2.7666666666666666,0.0,False,False,False,0,1.4161790490383697,1.4416666666666669,undefined_or_diverged
exact,picard,2.8,0.0,False,False,False,0,1.4161790490383697,1.4500000000000002,undefined_or_diverged
exact,picard,2.8333333333333335,0.0,False,False,False,0,1.4171542842949638,1.4583333333333335,undefined_or_diverged
exact,picard,2.8666666666666667,0.0,False,False,False,0,1.450487617628297,1.4666666666666668,undefined_or_diverged
exact,picard,2.9,0.0,False,False,False,0,1.4838209509616302,1.475,undefined_or_diverged
exact,picard,2.933333333333333,0.0,False,False,False,0,1.5171542842949635,1.4833333333333334,undefined_or_diverged
exact,picard,2.966666666666667,0.0,False,False,False,0,1.5504876176282971,1.4916666666666667,undefined_or_diverged
exact,picard,3.0,0.0,False,False,False,0,1.5838209509616303,1.5,undefined_or_diverged
exact,picard,0.0,0.03333333333333333,True,True,True,27,1.0280065687595652e-10,3.522393487997988e-11,map_converged
exact,picard,0.03333333333333333,0.03333333333333333,True,True,True,27,1.0083778256841924e-10,3.407002457933572e-11,map_converged
exact,picard,0.06666666666666667,0.03333333333333333,True,True,True,27,1.0083778256841924e-10,3.456429586989884e-11,map_converged
exact,picard,0.1,0.03333333333333333,True,True,True,27,1.0083778256841924e-10,3.506256396335061e-11,map_converged
exact,picard,0.13333333333333333,0.03333333333333333,True,True,True,27,1.0083778256841924e-10,3.5564828859691033e-11,map_converged
exact,picard,0.16666666666666666,0.03333333333333333,True,True,True,27,1.0083778256841924e-10,3.607086851431518e-11,map_converged
exact,picard,0.2,0.03333333333333333,True,True,True,27,1.0083778256841924e-10,3.65811270164329e-11,map_converged
exact,picard,0.23333333333333334,0.03333333333333333,True,True,True,27,1.0083778256841924e-10,3.70956043660442e-11,map_converged
exact,picard,0.26666666666666666,0.03333333333333333,True,True,True,27,1.0083778256841924e-10,3.761430056314907e-11,map_converged
exact,picard,0.3,0.03333333333333333,True,True,True,27,1.0083778256841924e-10,3.8137437652352446e-11,map_converged
exact,picard,0.3333333333333333,0.03333333333333333,True,True,True,27,1.0083778256841924e-10,3.866501563365432e-11,map_converged
exact,picard,0.36666666666666664,0.03333333333333333,True,True,True,27,1.0083778256841924e-10,3.919725655165962e-11,map_converged
exact,picard,0.4,0.03333333333333333,True,True,True,27,1.0083778256841924e-10,3.973438245097327e-11,map_converged
exact,picard,0.43333333333333335,0.03333333333333333,True,True,True,27,1.0083778256841924e-10,4.027617128699035e-11,map_converged
exact,picard,0.4666666666666667,0.03333333333333333,True,True,True,27,1.0083778256841924e-10,4.0822845104315775e-11,map_converged
exact,picard,0.5,0.03333333333333333,True,True,True,27,1.0083778256841924e-10,4.137462594755448e-11,map_converged
exact,picard,0.5333333333333333,0.03333333333333333,True,True,True,27,1.0083778256841924e-10,4.193173586131138e-11,map_converged
exact,picard,0.5666666666666667,0.03333333333333333,True,True,True,27,1.0083778256841924e-10,4.2494174845586485e-11,map_converged
exact,picard,0.6,0.03333333333333333,True,True,True,27,1.0083778256841924e-10,4.3062164944984715e-11,map_converged
exact,picard,0.6333333333333333,0.03333333333333333,True,True,True,27,1.0083778256841924e-10,4.363570615950607e-11,map_converged
exact,picard,0.6666666666666666,0.03333333333333333,True,True,True,27,1.0083778256841924e-10,4.42152425783604e-11,map_converged
exact,picard,0.7,0.03333333333333333,True,True,True,27,1.0083778256841924e-10,4.4800996246152636e-11,map_converged
exact,picard,0.7333333333333333,0.03333333333333333,True,True,True,27,1.0083778256841924e-10,4.539252307367292e-11,map_converged
exact,picard,0.7666666666666666,0.03333333333333333,True,True,True,27,1.0083778256841924e-10,4.5990711239340953e-11,map_converged
exact,picard,0.8,0.03333333333333333,True,True,True,27,1.0083778256841924e-10,4.659556074315674e-11,map_converged
exact,picard,0.8333333333333334,0.03333333333333333,True,True,True,27,1.0083778256841924e-10,4.720684954051535e-11,map_converged
exact,picard,0.8666666666666667,0.03333333333333333,True,True,True,27,1.0083778256841924e-10,4.782524376523156e-11,map_converged
exact,picard,0.9,0.03333333333333333,True,True,True,27,1.0083778256841924e-10,4.84509654619103e-11,map_converged
exact,picard,0.9333333333333333,0.03333333333333333,True,True,True,27,1.0083778256841924e-10,4.9084014630551565e-11,map_converged
exact,picard,0.9666666666666667,0.03333333333333333,True,True,True,27,1.0083778256841924e-10,4.9724835360365205e-11,map_converged
exact,picard,1.0,0.03333333333333333,True,True,True,27,1.0083778256841924e-10,5.0373649695956146e-11,map_converged
exact,picard,1.0333333333333332,0.03333333333333333,True,True,True,27,1.0083778256841924e-10,5.1030679681929314e-11,map_converged
exact,picard,1.0666666666666667,0.03333333333333333,True,True,True,27,1.0083778256841924e-10,5.169636940749456e-11,map_converged
exact,picard,1.1,0.03333333333333333,True,True,True,27,1.0083778256841924e-10,5.237071887265188e-11,map_converged
exact,picard,1.1333333333333333,0.03333333333333333,True,True,True,27,1.0083778256841924e-10,5.305439421121605e-11,map_converged
exact,picard,1.1666666666666667,0.03333333333333333,True,True,True,27,1.0083778256841924e-10,5.374739542318707e-11,map_converged
exact,picard,1.2,0.03333333333333333,True,True,True,27,1.0083778256841924e-10,5.445038864237972e-11,map_converged
exact,picard,1.2333333333333334,0.03333333333333333,True,True,True,27,1.0083778256841924e-10,5.516381795800385e-11,map_converged
exact,picard,1.2666666666666666,0.03333333333333333,True,True,True,27,1.0083778256841924e-10,5.588768337005945e-11,map_converged
exact,picard,1.3,0.03333333333333333,True,True,True,27,1.0083778256841924e-10,5.662309510157115e-11,map_converged
exact,picard,1.3333333333333333,0.03333333333333333,True,True,True,27,1.0083778256841924e-10,5.736983110793403e-11,map_converged
exact,picard,1.3666666666666667,0.03333333333333333,True,True,True,27,1.0083778256841924e-10,5.812877956756779e-11,map_converged
exact,picard,1.4,0.03333333333333333,True,True,True,28,4.2882142281541746e-11,2.504829677008047e-11,map_converged
exact,picard,1.4333333333333333,0.03333333333333333,True,True,True,28,4.2882142281541746e-11,2.538202981128279e-11,map_converged
exact,picard,1.4666666666666666,0.03333333333333333,True,True,True,28,4.2882142281541746e-11,2.5721536012213164e-11,map_converged
exact,picard,1.5,0.03333333333333333,True,True,True,28,4.2882142281541746e-11,2.6067703551291288e-11,map_converged
exact,picard,1.5333333333333332,0.03333333333333333,True,True,True,28,4.2882142281541746e-11,2.6419866294702388e-11,map_converged
exact,picard,1.5666666666666667,0.03333333333333333,True,True,True,28,4.2882142281541746e-11,2.6779356510076013e-11,map_converged
exact,picard,1.6,0.03333333333333333,True,True,True,28,4.2882142281541746e-11,2.7145730108202315e-11,map_converged
exact,picard,1.6333333333333333,0.03333333333333333,True,True,True,28,4.2882142281541746e-11,2.7519875267500993e-11,map_converged
exact,picard,1.6666666666666667,0.03333333333333333,True,True,True,28,4.2882142281541746e-11,2.7902014032576972e-11,map_converged
exact,picard,1.7,0.03333333333333333,True,True,True,28,4.2882142281541746e-11,2.8292590492640102e-11,map_converged
