model,deficit_lower,deficit_upper,deficit_median,count,prediction_rmse,prediction_mse,absolute_error_q99,maximum_error,residual_rmse,residual_max,capped_residual_rmse
lambda_0p1,3.162277660168379e-06,1e-05,5.475771237439808e-06,387,1.2817171231631936e-05,1.6427987838097333e-10,2.0620864079871042e-05,2.5497658761752806e-05,4.2459855654232474e-08,7.395590206904501e-08,9.435523478718328e-09
lambda_0p1,1e-05,3.1622776601683795e-05,1.7841830631915023e-05,371,9.03637470410245e-06,8.165606779294264e-11,1.534931280238183e-05,1.6263018459028444e-05,5.30294520768949e-08,9.312782212056447e-08,1.1784322683754421e-08
lambda_0p1,3.1622776601683795e-05,0.0001,5.622764280233117e-05,362,6.147936653313057e-06,3.7797125093150155e-11,1.2773577386333555e-05,1.3008608168441071e-05,6.239851561406277e-08,1.2353790135311016e-07,1.3866336803125057e-08
lambda_0p1,0.0001,0.00031622776601683794,0.00017371794170117916,361,3.098207580376556e-06,9.598890211102753e-12,6.413330565102625e-06,9.939162699978965e-06,5.6662330287519194e-08,1.6965083804443282e-07,1.2591628952782041e-08
lambda_0p1,0.00031622776601683794,0.001,0.0005575860395878873,373,2.1119424166353744e-06,4.460300771183665e-12,4.4653101923231015e-06,6.196123427670841e-06,6.838464104231304e-08,2.1471767286396215e-07,1.5196586898291782e-08
lambda_0p1,0.001,0.0031622776601683794,0.0017687156880324961,374,1.5112434442768903e-06,2.2838567478698783e-12,3.844592096728938e-06,4.689575588301409e-06,8.989727500416855e-08,3.556736245524661e-07,1.9977172223148556e-08
lambda_0p1,0.0031622776601683794,0.01,0.005661078524180407,420,1.2780179724384766e-06,1.6333299378757547e-12,5.00628898043587e-06,7.0124671331939226e-06,1.3498803848081854e-07,6.304569049042641e-07,2.999734188462628e-08
lambda_0p1,0.01,0.03162277660168379,0.017846578982297467,466,1.3659018248431406e-06,1.8656877951098216e-12,3.3881397326407384e-06,4.954227398101807e-06,2.511458934303097e-07,7.965423095557256e-07,5.5810198540068636e-08
lambda_0p1,0.03162277660168379,0.1,0.060401995552914034,590,1.3827137466829675e-06,1.9118973052660495e-12,3.418219487316688e-06,7.410121988016272e-06,4.342650269599194e-07,2.8251366400722233e-06,9.650333932442488e-08
lambda_0p1,0.1,0.31622776601683794,0.20663173307118948,758,1.0740174711793865e-06,1.1535135283985643e-12,3.127651992951285e-06,8.60326148988122e-06,5.406225152842622e-07,3.5272380832784833e-06,1.2013833672983243e-07
lambda_0p1,0.31622776601683794,1.0,0.9994832279117276,13636,4.578048011054996e-07,2.0958523591524601e-13,1.4114600536796472e-06,4.354896377511963e-06,4.357385265702122e-07,4.353893066801463e-06,9.683078368226782e-08
lambda_1,1e-10,3.1622776601683795e-10,1.8001700130554354e-10,4979,0.00015729885734382167,2.474293052167196e-08,0.0001668469811388107,0.00016899631511790858,1.5387072110730017e-08,1.669740101739592e-08,3.419349357940004e-09
lambda_1,3.1622776601683795e-10,1e-09,5.653859602716693e-10,4908,0.00014343365851070437,2.0573214393765355e-08,0.00015562609524476302,0.00015852301317309525,1.5146879475225262e-08,1.6577153427732583e-08,3.365973216716725e-09
lambda_1,1e-09,3.1622776601683795e-09,1.7637290516958615e-09,4980,0.00012083999390088091,1.4602304125964935e-08,0.0001376550162892265,0.00014041588904056823,1.4488736613384999e-08,1.620774514599077e-08,3.2197192474188887e-09
